date,temperature,humidity,luminosity
2022-11-17 15:25:05.819,26.0,33.7,1538
2022-11-17 15:25:00.776,26.0,33.6,1558
2022-11-17 15:24:55.732,26.0,33.7,1556
2022-11-17 15:24:50.689,26.0,33.7,1557
2022-11-17 15:24:45.645,26.0,33.7,1557
2022-11-17 15:24:40.601,26.0,33.6,1554
2022-11-17 15:24:35.556,26.0,33.6,1558
2022-11-17 15:24:30.514,26.0,33.6,1563
2022-11-17 15:24:25.469,26.0,33.7,1561
2022-11-17 15:24:20.426,26.0,33.7,1562
2022-11-17 15:24:15.382,26.0,33.8,1561
2022-11-17 15:24:10.339,26.0,33.7,1559
2022-11-17 15:24:05.294,26.0,33.6,1559
2022-11-17 15:24:00.251,26.1,33.6,1534
2022-11-17 15:23:55.206,26.1,33.8,1564
2022-11-17 15:23:50.162,26.1,33.7,1564
2022-11-17 15:23:45.119,26.0,33.8,1567
2022-11-17 15:23:40.075,26.0,33.7,1568
2022-11-17 15:23:35.031,26.0,33.6,1567
2022-11-17 15:23:29.988,26.1,33.6,1569
2022-11-17 15:23:24.944,26.1,33.6,1569
2022-11-17 15:23:19.899,26.1,33.5,1569
2022-11-17 15:23:14.856,26.1,33.5,1570
2022-11-17 15:23:09.812,26.1,33.4,1569
2022-11-17 15:23:04.768,26.1,33.5,1569
2022-11-17 15:22:59.724,26.1,33.5,1567
2022-11-17 15:22:54.680,26.1,33.5,1566
2022-11-17 15:22:49.637,26.1,33.3,1566
2022-11-17 15:22:44.593,26.1,33.2,1564
2022-11-17 15:22:39.549,26.1,33.2,1564
2022-11-17 15:22:34.507,26.1,33.3,1571
2022-11-17 15:22:29.463,26.1,33.4,1576
2022-11-17 15:22:24.419,26.1,33.6,1577
2022-11-17 15:22:19.376,26.1,33.7,1579
2022-11-17 15:22:14.332,26.1,33.7,1538
2022-11-17 15:22:09.288,26.1,33.6,1578
2022-11-17 15:22:04.245,26.1,33.5,1578
2022-11-17 15:21:59.202,26.1,33.6,1577
2022-11-17 15:21:54.158,26.1,33.8,1579
2022-11-17 15:21:49.114,26.1,33.7,1581
2022-11-17 15:21:44.070,26.1,33.9,1579
2022-11-17 15:21:39.027,26.1,33.9,1578
2022-11-17 15:21:33.983,26.1,33.9,1575
2022-11-17 15:21:28.940,26.1,33.9,1579
2022-11-17 15:21:23.898,26.2,33.8,1581
2022-11-17 15:21:18.854,26.1,33.8,1581
2022-11-17 15:21:13.810,26.1,33.8,1583
2022-11-17 15:21:08.766,26.1,33.9,1578
2022-11-17 15:21:03.723,26.1,34.1,1576
2022-11-17 15:20:58.679,26.2,34.3,1580
2022-11-17 15:20:53.636,26.1,34.6,1581
2022-11-17 15:20:48.592,26.2,34.8,1580
2022-11-17 15:20:43.549,26.1,35.0,1578
2022-11-17 15:20:38.505,26.1,34.9,1579
2022-11-17 15:20:33.461,26.1,34.5,1577
2022-11-17 15:20:28.417,26.1,34.0,1576
2022-11-17 15:20:23.373,26.2,33.5,1575
2022-11-17 15:20:18.329,26.2,33.3,1576
2022-11-17 15:20:13.286,26.2,33.4,1574
2022-11-17 15:20:08.241,26.2,33.4,1579
2022-11-17 15:20:03.196,26.1,33.5,188
2022-11-17 15:19:58.152,26.1,33.5,1576
2022-11-17 15:19:53.110,26.1,33.6,1574
2022-11-17 15:19:48.065,26.1,33.5,1574
2022-11-17 15:19:43.022,26.0,33.5,1572
2022-11-17 15:19:37.977,26.1,33.6,1573
2022-11-17 15:19:32.933,26.1,33.4,1577
2022-11-17 15:19:27.889,26.1,33.4,1574
2022-11-17 15:19:22.846,26.2,33.4,1576
2022-11-17 15:19:17.803,26.2,33.5,1579
2022-11-17 15:19:12.758,26.2,33.5,1577
2022-11-17 15:19:07.715,26.3,33.4,1579
2022-11-17 15:19:02.671,26.3,33.5,1574
2022-11-17 15:18:57.628,26.2,33.5,1576
2022-11-17 15:18:52.584,26.2,33.7,1577
2022-11-17 15:18:47.539,26.3,33.8,1579
2022-11-17 15:18:42.495,26.3,33.7,1579
2022-11-17 15:18:37.453,26.2,33.9,1578
2022-11-17 15:18:32.409,26.2,33.8,1579
2022-11-17 15:18:27.365,26.2,33.6,1576
2022-11-17 15:18:22.321,26.2,33.5,1576
2022-11-17 15:18:17.278,26.2,33.3,1566
2022-11-17 15:18:12.234,26.2,33.3,1569
2022-11-17 15:18:07.190,26.2,33.6,1572
2022-11-17 15:18:02.147,26.2,33.7,1573
2022-11-17 15:17:57.103,26.2,33.8,1569
2022-11-17 15:17:52.060,26.2,34.0,1567
2022-11-17 15:17:47.016,26.2,34.1,1569
2022-11-17 15:17:41.971,26.2,34.2,1523
2022-11-17 15:17:36.926,26.2,34.5,1574
2022-11-17 15:17:31.884,26.2,34.6,1573
2022-11-17 15:17:26.839,26.2,34.5,1571
2022-11-17 15:17:21.797,26.3,34.4,1573
2022-11-17 15:17:16.752,26.2,34.1,1573
2022-11-17 15:17:11.708,26.2,34.0,1570
2022-11-17 15:17:06.665,26.2,33.9,1573
2022-11-17 15:17:01.621,26.2,33.8,1572
2022-11-17 15:16:56.577,26.2,33.7,1574
2022-11-17 15:16:51.533,26.2,33.7,1574
2022-11-17 15:16:46.488,26.3,33.6,1574
2022-11-17 15:16:41.445,26.2,33.5,1573
2022-11-17 15:16:36.402,26.2,33.5,1572
2022-11-17 15:16:31.358,26.2,33.5,1573
2022-11-17 15:16:26.314,26.3,33.5,1574
2022-11-17 15:16:21.271,26.2,33.6,1575
2022-11-17 15:16:16.228,26.3,33.6,1573
2022-11-17 15:16:11.183,26.2,33.8,1572
2022-11-17 15:16:06.140,26.2,33.7,1569
2022-11-17 15:16:01.097,26.2,33.9,1569
2022-11-17 15:15:56.053,26.2,33.9,1575
2022-11-17 15:15:51.009,26.2,33.9,1577
2022-11-17 15:15:45.964,26.2,34.0,1576
2022-11-17 15:15:40.921,26.2,34.2,1574
2022-11-17 15:15:35.877,26.2,34.3,1571
2022-11-17 15:15:30.833,26.3,34.5,1570
2022-11-17 15:15:25.789,26.2,34.6,1571
2022-11-17 15:15:20.745,26.2,34.8,1570
2022-11-17 15:15:15.702,26.2,35.0,1571
2022-11-17 15:15:10.657,26.2,35.3,1571
2022-11-17 15:15:05.613,26.2,35.5,1571
2022-11-17 15:15:00.569,26.2,35.8,1570
2022-11-17 15:14:55.526,26.2,36.2,1570
2022-11-17 15:14:50.482,26.2,36.4,1571
2022-11-17 15:14:45.438,26.3,37.0,1500
2022-11-17 15:14:40.395,26.2,36.9,748
2022-11-17 15:14:35.351,26.3,36.7,479
2022-11-17 15:14:30.306,26.3,36.0,26
2022-11-17 15:14:25.262,26.1,35.8,211
2022-11-17 15:14:20.218,26.2,36.1,1513
2022-11-17 15:14:15.174,26.2,36.2,1513
2022-11-17 15:14:10.131,26.2,36.5,1512
2022-11-17 15:14:05.087,26.3,36.2,1514
2022-11-17 15:14:00.044,26.3,35.8,1458
2022-11-17 15:13:54.999,26.2,34.9,731
2022-11-17 15:13:49.956,26.2,34.8,1310
2022-11-17 15:13:44.912,26.2,34.8,1536
2022-11-17 15:13:39.868,26.2,35.1,93
2022-11-17 15:13:34.825,26.3,35.7,1539
2022-11-17 15:13:29.781,26.2,35.4,251
2022-11-17 15:13:24.739,26.2,35.3,1539
2022-11-17 15:13:19.694,26.3,35.9,1543
2022-11-17 15:13:14.651,26.3,36.6,1539
2022-11-17 15:13:09.607,26.3,37.6,1537
2022-11-17 15:13:04.564,26.4,38.5,1534
2022-11-17 15:12:59.520,26.3,38.4,1541
2022-11-17 15:12:54.477,26.3,38.6,1396
2022-11-17 15:12:49.434,26.4,39.5,1540
2022-11-17 15:12:44.390,26.3,39.3,1534
2022-11-17 15:12:39.345,26.2,39.9,96
2022-11-17 15:12:34.302,26.3,41.0,261
2022-11-17 15:11:35.858,14.3,0.0,1470
2022-11-17 15:11:30.814,14.3,0.0,1587
2022-11-17 15:11:25.771,14.3,0.0,1586
2022-11-17 15:11:20.727,14.3,0.0,1244
2022-11-17 15:11:15.683,14.3,0.0,1583
2022-11-17 15:11:10.638,14.3,0.0,1580
2022-11-17 15:11:05.593,14.4,0.0,1584
2022-11-17 15:11:00.549,14.4,0.0,1584
2022-11-17 15:10:55.505,14.4,0.0,1585
2022-11-17 15:10:50.462,14.3,0.0,1579
2022-11-17 15:10:45.418,14.3,0.0,1580
2022-11-17 15:10:40.375,14.4,0.0,1584
2022-11-17 15:10:35.333,14.5,0.0,1585
2022-11-17 15:10:30.288,14.4,0.0,1580
2022-11-17 15:10:25.245,14.4,0.0,1582
2022-11-17 15:10:20.202,14.2,0.0,1580
2022-11-17 15:10:15.159,14.2,0.0,1580
2022-11-17 15:10:10.116,14.3,0.0,292
2022-11-17 15:10:05.072,14.4,0.0,1539
2022-11-17 15:10:00.029,14.3,0.0,1569
2022-11-17 15:09:54.985,14.3,0.0,1571
2022-11-17 15:09:49.942,14.2,0.0,1571
2022-11-17 15:09:44.899,14.2,0.0,1571
2022-11-17 15:09:39.854,14.3,0.0,1568
2022-11-17 15:09:34.810,14.2,0.0,1576
2022-11-17 15:09:29.767,14.2,0.0,1575
2022-11-17 15:09:24.723,14.2,0.0,1574
2022-11-17 15:09:19.679,14.1,0.0,1578
2022-11-17 15:09:14.635,14.2,0.0,1577
2022-11-17 15:09:09.591,14.2,0.0,1577
2022-11-17 15:09:04.548,14.2,0.0,1576
2022-11-17 15:08:59.505,14.1,0.0,1573
2022-11-17 15:08:54.462,14.1,0.0,1570
2022-11-17 15:08:49.418,14.2,0.0,1574
2022-11-17 15:08:44.375,14.2,0.0,1573
2022-11-17 15:08:39.332,14.1,0.0,1575
2022-11-17 15:08:34.289,14.1,0.0,1576
2022-11-17 15:08:29.246,14.1,0.0,1575
2022-11-17 15:08:24.203,13.9,0.0,1576
2022-11-17 15:08:19.160,14.1,0.0,1575
2022-11-17 15:08:14.117,14.2,0.0,1572
2022-11-17 15:08:09.073,14.1,0.0,1525
2022-11-17 15:08:04.030,14.1,0.0,1576
2022-11-17 15:07:58.987,14.1,0.0,1575
2022-11-17 15:07:53.943,14.0,0.0,1576
2022-11-17 15:07:48.899,14.1,0.0,1576
2022-11-17 15:07:43.856,13.9,0.0,1575
2022-11-17 15:07:38.812,14.0,0.0,1575
2022-11-17 15:07:33.768,14.0,0.0,1575
2022-11-17 15:07:28.724,14.0,0.0,1577
2022-11-17 15:07:23.680,14.0,0.0,1575
2022-11-17 15:07:13.596,13.9,0.0,1577
2022-11-17 15:07:08.552,14.0,0.0,1574
2022-11-17 15:07:03.509,13.9,0.0,1571
2022-11-17 15:06:58.465,14.0,0.0,1570
2022-11-17 15:06:53.422,13.9,0.0,1573
2022-11-17 15:06:48.380,13.9,0.0,1573
2022-11-17 15:06:43.337,13.8,0.0,1571
2022-11-17 15:06:03.007,13.8,0.0,1575
2022-11-17 15:05:57.963,13.6,0.0,1578
2022-11-17 15:05:52.918,13.6,0.0,1562
2022-11-17 15:05:47.875,13.5,0.0,1567
2022-11-17 15:05:42.831,13.5,0.0,1564
2022-11-17 15:05:37.787,13.5,0.0,1567
2022-11-17 15:05:32.744,13.5,0.0,1566
