date,temperature,humidity,luminosity
2022-11-10 15:52:22.255,23.0,37.1,0
2022-11-10 15:52:20.981,23.0,37.0,0
2022-11-10 15:52:19.978,23.0,37.0,0
2022-11-10 15:52:18.703,23.0,37.0,0
2022-11-10 15:52:17.701,23.0,37.0,0
2022-11-10 15:52:16.426,23.0,37.0,0
2022-11-10 15:52:15.426,23.0,37.0,0
2022-11-10 15:52:14.149,23.0,36.9,0
2022-11-10 15:52:13.148,23.0,36.9,0
2022-11-10 15:52:11.875,23.0,36.9,0
2022-11-10 15:52:10.871,23.0,36.9,0
2022-11-10 15:52:09.598,23.0,36.9,0
2022-11-10 15:52:08.593,23.0,36.9,0
2022-11-10 15:52:07.319,23.0,36.9,0
2022-11-10 15:52:06.320,23.0,36.9,0
2022-11-10 15:52:05.042,23.0,36.9,0
2022-11-10 15:52:04.042,23.0,36.9,0
2022-11-10 15:52:02.764,23.0,36.8,0
2022-11-10 15:52:01.766,23.0,36.8,0
2022-11-10 15:52:00.492,23.0,36.7,0
2022-11-10 15:51:59.488,23.0,36.7,0
2022-11-10 15:51:58.214,23.0,36.7,0
2022-11-10 15:51:57.210,23.0,36.7,0
2022-11-10 15:51:55.936,23.0,36.6,0
2022-11-10 15:51:54.936,23.0,36.6,0
2022-11-10 15:51:53.658,23.0,36.6,0
2022-11-10 15:51:52.658,23.0,36.6,0
2022-11-10 15:51:51.381,23.0,36.7,0
2022-11-10 15:51:50.382,23.0,36.7,0
2022-11-10 15:51:49.108,23.0,36.7,0
2022-11-10 15:51:48.103,23.0,36.7,0
2022-11-10 15:51:46.830,23.0,36.7,0
2022-11-10 15:51:45.825,23.0,36.7,0
2022-11-10 15:51:44.552,23.0,36.7,0
2022-11-10 15:51:43.553,23.0,36.7,0
2022-11-10 15:51:42.274,23.0,36.7,0
2022-11-10 15:51:41.274,23.0,36.7,0
2022-11-10 15:51:39.996,23.0,36.8,0
2022-11-10 15:51:38.998,23.0,36.8,0
2022-11-10 15:51:37.723,23.0,36.8,0
2022-11-10 15:51:36.720,23.0,36.8,0
2022-11-10 15:51:35.445,23.0,36.8,0
2022-11-10 15:51:34.441,23.0,36.8,0
